가아, 76, 145
나타, 57, 147
바가, 66, 182
자나, 44, 162
사자, 53, 156
자사, 78, 150
하바, 70, 159
타사, 92, 140
나카, 82, 191
타가, 51, 143
다마, 49, 158
아자, 57, 188
하아, 46, 144
차하, 92, 192
바카, 88, 168
사자, 96, 196
카카, 91, 198
타바, 68, 176
가타, 62, 181
마바, 53, 161
차바, 60, 169
차라, 93, 165
바나, 44, 150
하바, 60, 182
나하, 92, 178
바사, 79, 150
차사, 64, 181
차다, 80, 151
자다, 61, 145
가파, 61, 154
가다, 69, 153
바라, 88, 183
가카, 77, 171
하바, 64, 188
차나, 82, 147
라하, 71, 194
나사, 55, 188
가마, 60, 193
바라, 82, 188
자자, 59, 161
타차, 71, 189
나마, 85, 150
라가, 67, 194
하타, 43, 182
타자, 78, 177
아바, 61, 179
자하, 89, 193
마하, 67, 151
하아, 78, 163
파자, 75, 199
라아, 82, 192
아카, 60, 158
마가, 65, 196
마자, 67, 177
사나, 40, 178
가차, 94, 172
사사, 80, 192
타하, 57, 162
하바, 57, 192
카마, 82, 196
나아, 88, 141
카가, 90, 145
나라, 77, 163
카카, 71, 154
카가, 49, 156
타다, 73, 188
타아, 84, 189
사라, 42, 148
파차, 97, 165
다가, 71, 178
카라, 86, 156
라사, 52, 193
하나, 49, 153
차차, 69, 145
나아, 68, 152
나라, 70, 189
하타, 66, 173
사가, 92, 171
타바, 48, 192
카나, 95, 188
다아, 90, 190
가바, 53, 193
아다, 78, 181
가아, 92, 166
자바, 94, 146
아다, 65, 148
카가, 74, 163
마타, 65, 183
카아, 68, 184
바다, 54, 154
나자, 45, 159
카카, 72, 151
카하, 77, 154
차라, 99, 191
라하, 73, 171
타파, 66, 161
마사, 59, 187
라바, 40, 177
마사, 63, 183
라다, 52, 199
파하, 74, 176
마하, 45, 144
타아, 76, 186
타자, 91, 196
하아, 45, 143
파차, 65, 197
자카, 71, 156
나차, 41, 141
아나, 80, 157
다카, 54, 190
차아, 81, 196
차하, 52, 173
아바, 85, 148
자사, 51, 173
하가, 60, 173
라자, 77, 141
라차, 53, 158
바라, 66, 143
타하, 73, 175
가마, 45, 143
사차, 59, 145
하카, 43, 159
다카, 64, 150
하하, 60, 191
타나, 63, 198
차사, 74, 161
사사, 57, 166
차마, 84, 190
마라, 62, 173
가차, 66, 179
가마, 65, 159
나사, 62, 147
하바, 88, 160
타차, 95, 152
가하, 88, 140
사마, 68, 197
하다, 77, 194
타바, 85, 150
차자, 57, 188
마카, 63, 176
라자, 45, 183
다아, 68, 172
하아, 95, 186
카바, 96, 173
바파, 49, 155
마사, 70, 154
하타, 74, 181
마차, 88, 158
아사, 86, 187
다마, 94, 168
다나, 91, 141
차라, 94, 162
카타, 58, 154
다파, 93, 144
다바, 73, 167
사파, 63, 155
하바, 56, 179
바가, 42, 193
자가, 54, 152
아차, 64, 188
가카, 62, 158
아타, 68, 167
마타, 43, 182
파다, 57, 196
차차, 51, 169
다차, 46, 171
라라, 63, 181
다타, 63, 152
사라, 45, 162
바라, 60, 159
파나, 77, 141
가파, 76, 194
차다, 52, 187
가바, 65, 152
가바, 90, 157
차바, 51, 177
파아, 68, 164
바타, 92, 151
타차, 63, 186
하바, 96, 170
하타, 51, 148
다사, 71, 187
마다, 72, 190
파자, 55, 194
카자, 40, 155
카카, 46, 141
타사, 74, 163
나차, 44, 142
타다, 83, 151
아하, 42, 165
파사, 64, 154
하바, 61, 142
타카, 80, 186
차아, 68, 197
라바, 93, 162
다다, 48, 184
라바, 56, 172
자라, 48, 146
하자, 91, 180
카다, 70, 187
아라, 75, 178
사하, 64, 167
카사, 61, 185
아가, 57, 143
가사, 58, 166
나다, 88, 141
하차, 72, 188
사바, 60, 194
차다, 41, 194
사나, 76, 161
사다, 85, 156
하자, 79, 175
마나, 84, 187
마타, 43, 140
나마, 64, 149
파카, 53, 199
파아, 45, 158
차타, 68, 197
사파, 46, 181
하카, 45, 167
차하, 99, 178
차사, 44, 167
사아, 75, 154
자나, 93, 160
라파, 53, 189
아다, 58, 167
바라, 87, 180
차자, 82, 161
나나, 95, 160
아타, 99, 164
하라, 68, 190
바나, 44, 174
차파, 82, 165
나파, 78, 145
자하, 83, 160
사차, 75, 148
하카, 93, 189
다파, 72, 151
바타, 75, 190
라카, 62, 188
가아, 68, 156
라마, 50, 159
사차, 84, 197
하나, 58, 165
사차, 69, 145
마나, 53, 160
차사, 98, 179
나사, 90, 179
가파, 82, 186
나자, 68, 184
사다, 82, 155
카타, 48, 184
바바, 82, 181
바나, 98, 157
마타, 80, 195
타나, 96, 195
차아, 45, 195
하차, 57, 158
파카, 77, 197
다파, 66, 194
마다, 50, 156
다타, 52, 190
마자, 64, 180
다사, 65, 152
바자, 60, 151
카나, 81, 184
가타, 86, 199
카카, 59, 172
바나, 60, 140
마카, 56, 183
가카, 43, 176
차타, 97, 194
나타, 72, 196
차마, 67, 194
차사, 53, 149
타가, 47, 142
가가, 67, 160
타사, 86, 159
하아, 93, 162
하타, 94, 188
타하, 83, 145
가다, 80, 161
나타, 70, 149
라하, 51, 140
파파, 52, 178
파다, 82, 164
자사, 86, 183
마자, 54, 199
사아, 72, 167
카하, 40, 179
파라, 81, 156
바나, 73, 190
바다, 55, 155
나카, 87, 162
파하, 84, 187
바바, 93, 173
바라, 70, 180
차라, 58, 162
라파, 69, 171
차가, 93, 181
사마, 48, 199
하나, 82, 151
나차, 43, 159
라하, 46, 150
바하, 68, 152
마자, 80, 162
라자, 69, 160
카다, 91, 166
하자, 40, 176
자가, 74, 188
나다, 61, 146
타마, 95, 157
아나, 67, 180
라카, 58, 157
라가, 99, 159
바나, 70, 159
자마, 55, 172
다나, 70, 151
라나, 45, 148
마사, 97, 144
하자, 93, 168
나타, 78, 171
파파, 98, 153
마마, 57, 197
가자, 41, 175
타파, 82, 174
카나, 92, 170
아다, 60, 157
다카, 96, 162
아아, 87, 151
아가, 61, 185
아나, 43, 148
카파, 62, 158
나아, 86, 190
파자, 89, 167
나마, 83, 163
다사, 44, 157
나나, 96, 162
파사, 62, 173
파타, 96, 161
차카, 55, 177
다자, 63, 159
파마, 60, 144
마파, 47, 197
마차, 93, 175
나가, 66, 152
카가, 68, 151
가마, 97, 145
라차, 68, 195
가자, 74, 170
카자, 85, 177
바바, 53, 179
하타, 49, 173
나가, 58, 168
바나, 91, 157
라아, 51, 174
나아, 59, 153
카타, 59, 199
파라, 84, 175
아마, 47, 143
나다, 69, 194
나카, 99, 172
라파, 48, 146
카차, 59, 188
자카, 97, 172
차가, 44, 172
아타, 48, 199
카차, 79, 191
타가, 89, 192
나가, 64, 194
다하, 97, 199
다아, 64, 163
가파, 80, 141
다차, 99, 197
라라, 55, 183
차파, 99, 174
가자, 81, 151
다카, 51, 186
라타, 58, 144
나자, 40, 155
타라, 53, 196
아파, 60, 165
차타, 54, 143
사자, 71, 153
마나, 43, 161
카다, 81, 152
바다, 88, 189
자가, 92, 161
마차, 94, 194
파마, 48, 188
타아, 87, 143
다가, 65, 167
자나, 41, 163
하카, 42, 194
라바, 58, 193
가하, 64, 188
카카, 70, 168
바사, 81, 192
사차, 95, 183
나마, 75, 141
라라, 45, 162
사카, 64, 145
카다, 67, 167
카파, 65, 179
차바, 63, 196
사바, 81, 175
아아, 51, 144
다바, 44, 155
가다, 88, 197
라라, 65, 159
나차, 52, 186
아자, 89, 163
차카, 79, 152
다라, 41, 164
카가, 94, 143
자다, 68, 189
자파, 72, 180
차다, 85, 175
자타, 44, 147
사자, 88, 174
차나, 70, 145
마라, 87, 174
나다, 76, 162
차다, 45, 175
타라, 74, 152
자아, 94, 156
타파, 63, 156
파다, 41, 142
가마, 59, 194
가타, 54, 157
라가, 59, 169
라사, 58, 163
카하, 58, 186
파다, 77, 181
아하, 73, 141
타다, 66, 184
하바, 96, 159
바사, 61, 195
나자, 79, 190
타타, 91, 161
자카, 71, 176
바차, 91, 154
마자, 59, 196
하마, 64, 199
바라, 65, 197
라나, 48, 189
사사, 85, 169
타다, 99, 154
바하, 81, 171
마바, 66, 163
가파, 87, 198
카마, 43, 176
타라, 85, 169
파마, 94, 198
바라, 89, 182
바마, 50, 160
사자, 93, 143
바자, 52, 148
바파, 52, 197
나차, 61, 183
파파, 71, 165
하마, 54, 191
